id,name,weight
0,桃仁,15
1,红花,15
2,当归,15
3,生地黄,15
4,牛膝,15
5,川芎,15
6,桔梗,12
7,赤芍,15
8,枳壳,15
9,甘草,12
10,柴胡,15
