id,name,weight
0,党参,15
1,炒白术,15
2,黄芪,30
3,当归,15
4,炙甘草,6
5,茯神,15
6,远志,15
7,酸枣仁,15
8,木香,12
9,龙眼肉,9
10,大枣,12
11,生姜,15
