id	name	weight
0	党参	15
1	茯苓	15
2	炒白术	12
3	白扁豆	12
4	陈皮	12
5	山药	20
6	炙甘草	9
7	莲子	6
8	砂仁	15
9	薏仁	15
10	桔梗	12
11	大枣	15
